
step 0: train loss 10.9873, val loss 10.9915
/home/yxdong/anaconda3/envs/dyx-py38/lib/python3.8/site-packages/torch/optim/lr_scheduler.py:131: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
iter 3440: loss 5.5780, time 650.53ms, mfu 4.20%
iter 3450: loss 5.8599, time 652.49ms, mfu 4.21%
iter 3460: loss 5.5083, time 650.45ms, mfu 4.22%
iter 3470: loss 5.5784, time 648.73ms, mfu 4.23%
iter 3480: loss 6.3405, time 651.83ms, mfu 4.24%
iter 3490: loss 5.8811, time 652.68ms, mfu 4.24%
step 3500: train loss 5.7258, val loss 5.7723
saving checkpoint to out
iter 3500: loss 5.8391, time 17796.63ms, mfu 3.83%
iter 3510: loss 5.6670, time 647.79ms, mfu 3.88%
iter 3520: loss 5.4222, time 647.89ms, mfu 3.93%
iter 3530: loss 5.7754, time 650.94ms, mfu 3.97%
iter 3540: loss 5.9218, time 649.61ms, mfu 4.00%
iter 3550: loss 5.9294, time 648.90ms, mfu 4.03%
iter 3560: loss 5.8820, time 648.84ms, mfu 4.06%
iter 3570: loss 5.8289, time 650.27ms, mfu 4.09%
iter 3580: loss 5.8210, time 649.31ms, mfu 4.11%
iter 3590: loss 6.2975, time 651.49ms, mfu 4.13%
iter 3600: loss 5.6136, time 651.18ms, mfu 4.15%
iter 3610: loss 5.7694, time 651.55ms, mfu 4.16%
iter 3620: loss 5.8418, time 651.83ms, mfu 4.18%
iter 3630: loss 4.9631, time 652.69ms, mfu 4.19%
iter 3640: loss 6.0853, time 651.84ms, mfu 4.20%
iter 3650: loss 5.6990, time 651.14ms, mfu 4.21%
iter 3660: loss 6.1031, time 652.12ms, mfu 4.22%
iter 3670: loss 5.4902, time 649.20ms, mfu 4.23%
iter 3680: loss 5.3285, time 649.14ms, mfu 4.24%
iter 3690: loss 6.1699, time 652.00ms, mfu 4.25%
iter 3700: loss 5.4632, time 649.72ms, mfu 4.25%
iter 3710: loss 5.8330, time 648.74ms, mfu 4.26%
iter 3720: loss 5.8981, time 649.86ms, mfu 4.27%
iter 3730: loss 5.6680, time 650.88ms, mfu 4.27%
iter 3740: loss 5.3614, time 649.85ms, mfu 4.28%
iter 3750: loss 5.3022, time 650.20ms, mfu 4.28%
iter 3760: loss 5.9212, time 652.69ms, mfu 4.28%
iter 3770: loss 5.7044, time 650.80ms, mfu 4.28%
iter 3780: loss 5.7366, time 649.99ms, mfu 4.29%
iter 3790: loss 5.5729, time 651.88ms, mfu 4.29%
iter 3800: loss 5.7475, time 650.39ms, mfu 4.29%
iter 3810: loss 7.0187, time 651.19ms, mfu 4.29%
iter 3820: loss 5.8031, time 649.21ms, mfu 4.30%
iter 3830: loss 5.4667, time 648.51ms, mfu 4.30%
iter 3840: loss 5.6418, time 652.58ms, mfu 4.30%
iter 3850: loss 5.9855, time 648.74ms, mfu 4.30%
iter 3860: loss 5.5162, time 651.32ms, mfu 4.30%
iter 3870: loss 5.5178, time 650.93ms, mfu 4.30%
iter 3880: loss 5.6407, time 650.72ms, mfu 4.30%
iter 3890: loss 5.5790, time 650.01ms, mfu 4.30%
iter 3900: loss 5.8648, time 652.68ms, mfu 4.30%
iter 3910: loss 5.9675, time 649.10ms, mfu 4.31%
iter 3920: loss 5.7621, time 649.98ms, mfu 4.31%
iter 3930: loss 5.8375, time 650.26ms, mfu 4.31%
iter 3940: loss 6.2693, time 651.06ms, mfu 4.31%
iter 3950: loss 5.6235, time 650.39ms, mfu 4.31%
iter 3960: loss 5.5993, time 648.99ms, mfu 4.31%
iter 3970: loss 5.3417, time 650.23ms, mfu 4.31%
iter 3980: loss 5.5061, time 650.42ms, mfu 4.31%
iter 3990: loss 5.8199, time 649.50ms, mfu 4.31%
step 4000: train loss 5.5853, val loss 5.6208
saving checkpoint to out
iter 4000: loss 5.4931, time 17769.58ms, mfu 3.90%
iter 4010: loss 5.8039, time 649.80ms, mfu 3.94%
iter 4020: loss 5.4909, time 647.70ms, mfu 3.98%
iter 4030: loss 5.8483, time 648.88ms, mfu 4.01%
iter 4040: loss 5.7668, time 650.37ms, mfu 4.04%
iter 4050: loss 5.6039, time 651.00ms, mfu 4.07%
iter 4060: loss 5.8328, time 650.72ms, mfu 4.09%
