
step 0: train loss 10.9873, val loss 10.9915
/home/yxdong/anaconda3/envs/dyx-py38/lib/python3.8/site-packages/torch/optim/lr_scheduler.py:131: UserWarning: Detected call of `lr_scheduler.step()` before `optimizer.step()`. In PyTorch 1.1.0 and later, you should call them in the opposite order: `optimizer.step()` before `lr_scheduler.step()`.  Failure to do this will result in PyTorch skipping the first value of the learning rate schedule. See more details at https://pytorch.org/docs/stable/optim.html#how-to-adjust-learning-rate
iter 3350: loss 8.3393, time 655.91ms, mfu 4.26%
iter 3360: loss 8.0234, time 658.57ms, mfu 4.26%
iter 3370: loss 8.7850, time 657.09ms, mfu 4.26%
iter 3380: loss 8.7798, time 1350.26ms, mfu 4.04%
iter 3390: loss 8.0484, time 655.65ms, mfu 4.07%
iter 3400: loss 8.4328, time 659.10ms, mfu 4.08%
iter 3410: loss 7.8462, time 656.23ms, mfu 4.10%
iter 3420: loss 8.1564, time 657.98ms, mfu 4.12%
iter 3430: loss 8.5427, time 658.86ms, mfu 4.13%
iter 3440: loss 7.9576, time 656.64ms, mfu 4.15%
iter 3450: loss 7.9702, time 656.51ms, mfu 4.16%
iter 3460: loss 7.6597, time 655.80ms, mfu 4.17%
iter 3470: loss 7.9509, time 656.22ms, mfu 4.18%
iter 3480: loss 9.0359, time 655.78ms, mfu 4.19%
iter 3490: loss 8.4427, time 658.07ms, mfu 4.20%
step 3500: train loss 8.0356, val loss 8.0706
saving checkpoint to out
iter 3500: loss 8.0881, time 17406.44ms, mfu 3.80%
iter 3510: loss 8.2220, time 654.29ms, mfu 3.84%
iter 3520: loss 7.7706, time 653.98ms, mfu 3.89%
iter 3530: loss 8.0238, time 654.71ms, mfu 3.93%
iter 3540: loss 8.0445, time 656.13ms, mfu 3.96%
iter 3550: loss 8.2346, time 655.61ms, mfu 3.99%
iter 3560: loss 8.0696, time 658.09ms, mfu 4.02%
iter 3570: loss 8.1521, time 656.09ms, mfu 4.05%
iter 3580: loss 8.2647, time 657.87ms, mfu 4.07%
iter 3590: loss 8.5406, time 658.84ms, mfu 4.09%
iter 3600: loss 7.7972, time 655.61ms, mfu 4.11%
iter 3610: loss 8.0039, time 656.01ms, mfu 4.12%
iter 3620: loss 8.1927, time 656.96ms, mfu 4.14%
iter 3630: loss 7.5511, time 655.88ms, mfu 4.15%
iter 3640: loss 8.6110, time 658.70ms, mfu 4.16%
iter 3650: loss 7.9247, time 657.32ms, mfu 4.17%
iter 3660: loss 8.5504, time 658.84ms, mfu 4.18%
iter 3670: loss 8.0062, time 655.64ms, mfu 4.19%
iter 3680: loss 8.0198, time 656.16ms, mfu 4.20%
iter 3690: loss 8.4634, time 656.06ms, mfu 4.21%
iter 3700: loss 7.7215, time 655.58ms, mfu 4.21%
iter 3710: loss 8.0448, time 658.00ms, mfu 4.22%
iter 3720: loss 7.9703, time 656.26ms, mfu 4.23%
iter 3730: loss 7.8789, time 656.31ms, mfu 4.23%
iter 3740: loss 7.6208, time 657.76ms, mfu 4.23%
iter 3750: loss 6.8791, time 659.06ms, mfu 4.24%
iter 3760: loss 8.2185, time 655.25ms, mfu 4.24%
iter 3770: loss 7.9725, time 657.81ms, mfu 4.24%
iter 3780: loss 8.0418, time 655.21ms, mfu 4.25%
iter 3790: loss 7.6935, time 657.93ms, mfu 4.25%
iter 3800: loss 8.4094, time 658.21ms, mfu 4.25%
iter 3810: loss 9.0759, time 656.40ms, mfu 4.25%
iter 3820: loss 8.0429, time 657.51ms, mfu 4.25%
iter 3830: loss 7.4889, time 656.49ms, mfu 4.26%
iter 3840: loss 7.8907, time 657.33ms, mfu 4.26%
iter 3850: loss 8.2808, time 657.27ms, mfu 4.26%
iter 3860: loss 7.6665, time 656.83ms, mfu 4.26%
iter 3870: loss 7.7658, time 655.45ms, mfu 4.26%
iter 3880: loss 8.0293, time 655.73ms, mfu 4.26%
iter 3890: loss 8.0922, time 655.09ms, mfu 4.27%
iter 3900: loss 8.1339, time 657.66ms, mfu 4.27%
iter 3910: loss 8.5125, time 656.57ms, mfu 4.27%
iter 3920: loss 8.1359, time 657.42ms, mfu 4.27%
